t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,delta_cmd,v_cmd
1763122468.5268574,0.0,17.902763937536864,9.608839043122511,1.5672253370285034,9.191248496162907e-05,0.0,0.007967233657836914,-0.00030749318382776024,0.4844527689998445,-0.010679591607044908,0.01
1763122468.5463104,0.0,17.902763937536864,9.608839043122511,1.5672253370285034,9.191248496162907e-05,0.0,0.007967233657836914,-0.00030749318382776024,0.4245624972731647,-0.013878266793425562,0.01
1763122468.5689466,0.0,17.902763937536864,9.608839043122511,1.5672001838684082,9.29785451014232e-05,0.0,0.007992386817932129,-0.00030749318382776024,0.4739401784651727,-0.014870190837520631,0.01
1763122468.5866613,0.0,17.902768617220815,9.608844767490485,1.5672001838684082,9.29785451014232e-05,-0.6118955260070096,0.007992386817932129,-0.00031219798822697405,0.6351947513200026,-0.015015725450361929,0.01
1763122468.6073723,0.0,17.902768617220815,9.608844767490485,1.5672001838684082,9.29785451014232e-05,-0.6118955260070096,0.007992386817932129,-0.00031219798822697405,0.7276835334273594,-0.015152268593267713,0.01
1763122468.6314762,0.0,17.902768617220815,9.608844767490485,1.5671330690383911,9.374567394837775e-05,-0.6118955260070096,0.008059501647949219,-0.00031219798822697405,0.023559907750027365,-0.015423277639051516,0.01
1763122468.639622,0.0,17.902774688793397,9.608909810911754,1.5671330690383911,9.374567394837775e-05,-0.6118955260070096,0.008059501647949219,-0.0003185554479902004,0.013985291098931579,-0.015422951257087467,0.01
1763122468.6668487,0.0,17.902774688793397,9.608909810911754,1.5671330690383911,9.374567394837775e-05,-0.851999175544039,0.008059501647949219,-0.0003185554479902004,0.013985983564342852,-0.015422951331303199,0.01
1763122468.6839309,0.0,17.902774688793397,9.608909810911754,1.5670982599258423,9.416385660463691e-05,-0.851999175544039,0.008094310760498047,-0.0003185554479902004,0.014048346489559395,-0.015489836579757343,0.01
1763122468.7128851,0.0,17.902780744153716,9.609067933030676,1.5670982599258423,9.416385660463691e-05,-0.8681610404428689,0.008094310760498047,-0.00032530589096621364,0.014048344204273644,-0.015489578930078449,0.01
1763122468.7334492,0.0,17.902780744153716,9.609067933030676,1.5670982599258423,9.416385660463691e-05,-0.8681610404428689,0.008094310760498047,-0.00032530589096621364,0.01404834420428459,-0.015489579022321863,0.01
1763122468.7523208,0.0,17.902780744153716,9.609067933030676,1.567097783088684,9.416385660463691e-05,-0.8681610404428689,0.00809478759765625,-0.00032530589096621364,0.014048344204211822,-0.01549049525915969,0.01
1763122468.7745507,0.0,17.902786207758066,9.609326190351123,1.567097783088684,9.416385660463691e-05,-0.8836887149761485,0.00809478759765625,-0.00033190480101435104,0.01404834276393016,-0.015490242216909467,0.01
1763122468.7946267,0.0,17.902786207758066,9.609326190351123,1.567097783088684,9.416385660463691e-05,-0.8836887149761485,0.00809478759765625,-0.00033190480101435104,0.014048342763945683,-0.015490242307040577,0.01
1763122468.8149424,0.0,17.902786207758066,9.609326190351123,1.567097783088684,9.416385660463691e-05,-0.8836887149761485,0.00809478759765625,-0.00033190480101435104,0.014048342763945686,-0.015490242307915196,0.01
1763122468.835495,0.0,17.902791017617993,9.60968954219607,1.5670926570892334,9.416385660463691e-05,-0.8836887149761485,0.008099913597106934,-0.0003383119926035203,0.014048341364726017,-0.01549984612754389,0.01
1763122468.855469,0.0,17.902791017617993,9.60968954219607,1.5670926570892334,9.416385660463691e-05,-0.8836700189193476,0.008099913597106934,-0.0003383119926035203,0.014048341364740933,-0.015499846401558992,0.01
1763122468.8769758,0.0,17.902791017617993,9.60968954219607,1.5670926570892334,9.416385660463691e-05,-0.8836700189193476,0.008099913597106934,-0.0003383119926035203,0.014048341364740933,-0.015499846401659058,0.01
1763122468.902304,0.0,17.902794799893087,9.61016409204575,1.5670967102050781,9.416385660463691e-05,-0.8874874991282604,0.008095860481262207,-0.000344180461232375,0.014048340084505024,-0.015491833359115626,0.01
1763122468.9183736,0.0,17.902794799893087,9.61016409204575,1.5670967102050781,9.416385660463691e-05,-0.8874874991282604,0.008095860481262207,-0.000344180461232375,0.01404834008451864,-0.015491833290334217,0.01
1763122468.9430273,0.0,17.902794799893087,9.61016409204575,1.5670967102050781,9.645485198032016e-05,-0.8874874991282604,0.008095860481262207,-0.000344180461232375,0.014389991204217665,-0.015491833291710387,0.01
1763122468.95926,0.0,17.902794799893087,9.61016409204575,1.5671087503433228,9.645485198032016e-05,-0.8874874991282604,0.008083820343017578,-0.000344180461232375,0.014389983720145078,-0.015468698358410578,0.01
1763122468.981779,0.0,17.90279737290705,9.610691665035109,1.5671087503433228,9.645485198032016e-05,-0.8874875044134187,0.008083820343017578,-0.000349072782297409,0.014389982626344984,-0.015468510299136106,0.01
1763122469.0047553,0.0,17.90279737290705,9.610691665035109,1.5671087503433228,9.645485198032016e-05,-0.8874875044134187,0.008083820343017578,-0.000349072782297409,0.014389982626357349,-0.015468510365866158,0.01
1763122469.0219553,0.0,17.90279737290705,9.610691665035109,1.5671114921569824,0.00010724166859273888,-0.8874875044134187,0.00808107852935791,-0.000349072782297409,0.015998563100857795,-0.015463242012550539,0.01
1763122469.0415602,0.0,17.902799714653973,9.611244414473514,1.5671114921569824,0.00010724166859273888,-0.8875255026642843,0.00808107852935791,-0.0003538445200064501,0.01599846129718336,-0.015463058921142475,0.01
