t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,delta_cmd,v_cmd
1761408516.6654146,0.0,17.492362486321394,13.442985409291788,-1.571229338645935,0.00014711578156630388,0.0,-0.00494074821472168,-0.006917602563269653,2.5772875493714356,0.006759647977794247,0.00014711578156630388
1761408516.7458878,0.0,17.492361918169838,13.442984645955267,-1.571229338645935,0.00014711578156630388,0.38729930012175195,-0.0049410728084380295,-0.006918085458300319,1.5823525900774562,0.009656939443895014,0.08275547748927285
1761408516.8066015,0.0,17.49236190815616,13.442983882540833,-1.5712472200393677,0.00014530739824606325,0.5533018731485966,-0.004923324848084221,-0.0069180599736465625,2.064403872270021,0.009621571521724463,0.13053293752968045
1761408516.892497,0.0,17.492361733872087,13.442983119182054,-1.5712307691574097,0.00014530739824606325,0.5512754404780768,-0.004939774052444612,-0.006918230166130307,2.1437583962269104,0.009654375186004465,0.11501513580363036
1761408516.9560084,0.0,17.492361494738205,13.442977015444143,-1.5712579488754272,0.00014711578156630388,0.553154951993885,-0.004912601589127874,-0.00691843384435944,1.9893780212931451,0.009600162224023748,0.1341500458185512
1761408517.0056179,0.0,17.492360818106192,13.442897287893132,-1.5712515115737915,0.00014711578156630388,0.5500487780774866,-0.0049190362872924,-0.006918682521793815,2.087068588036265,0.009613008711765915,0.1272156997430247
1761408517.0659456,0.0,17.492359868723355,13.442676798135157,-1.5712894201278687,0.00014711578156630388,0.5507848276066794,-0.004881128350142205,-0.006918447831434513,2.0610988579435254,0.00953735948933748,0.08378412102057331
1761408517.1475463,0.0,17.492359328228286,13.442266526806183,-1.5713268518447876,0.00014711578156630388,0.5464504464380837,-0.004843693000321281,-0.006916785473975385,2.054323713015959,0.009462640592362667,0.06363159911569671
1761408517.2079067,0.0,17.492357352452878,13.440801489717241,-1.5713539123535156,0.00014904196289086926,0.5421693689915541,-0.004816634852765844,-0.006910887010585185,2.0653943967453405,0.00940857697204047,0.0901546120032877
1761408517.2840316,0.0,17.492357352452878,13.440801489717241,-1.5714246034622192,0.00014904196289086926,0.5390717517218945,-0.0047459411137786844,-0.006910889459145576,2.060053527217274,0.009267510835615196,0.07283458441268878
