t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,ddelta_cmd,v_cmd,delta_cmd
1762019021.806813,82.0,0.4260630986334498,5.744210015842304,-1.5684341192245483,1.5209047118954954e-05,0.0,-0.003003716468811035,0.016042959327303142,13.999999999999984,0.2242363494553671,1.5209047118954954e-05,0.0
1762019021.8143487,82.0,0.4260630986334498,5.744210015842304,-1.5684341192245483,1.5209047118954954e-05,0.0,-0.003003716468811035,0.016042959327303142,13.756659597529595,0.11563103073796452,0.7195636170318597,0.006048134250270926
1762019021.8350537,82.0,0.4260630986334498,5.744210015842304,-1.5684318542480469,1.5209047118954954e-05,0.0,-0.0030059814453125,0.016042959327303142,1.273024346250331,0.012893610357762847,0.008776708881944543,8.873935942591193e-05
1762019021.8564963,82.0,0.42606323572419935,5.744209157479117,-1.5684318542480469,1.5209047118954954e-05,0.0,-0.0030059814453125,0.01604309699852747,1.4494980232014028,0.012805415693811516,0.010030327815900773,8.847736044088786e-05
1762019021.8760939,82.0,0.42606323572419935,5.744209157479117,-1.5684318542480469,1.5209047118954954e-05,0.0,-0.0030059814453125,0.01604309699852747,0.46292036739452846,0.003952534737603038,0.0035684227168718986,3.033826430854612e-05
1762019021.8966234,82.0,0.42606323572419935,5.744209157479117,-1.5642181634902954,1.6109198041435072e-05,0.0,-0.007219672203063965,0.01604309699852747,0.13056175971964468,0.005305009875980978,0.0008763411292158041,3.4953104954417785e-05
1762019021.919229,82.0,0.4261819516682966,5.743432505077768,-1.5642181634902954,1.6109198041435072e-05,0.005084390771799213,-0.007219672203063965,0.016162333840299862,0.1012905083330623,0.003503914477120094,0.000669764772136922,2.2611726081898115e-05
1762019021.939863,82.0,0.4261819516682966,5.743432505077768,-1.5642181634902954,1.6109198041435072e-05,0.005084390771799213,-0.007219672203063965,0.016162333840299862,0.0900673558848785,0.002958514827270842,0.0007721133721029797,0.00011357243614350257
1762019021.9597054,82.0,0.4261819516682966,5.743432505077768,-1.5617728233337402,1.6109198041435072e-05,0.005084390771799213,-0.00966501235961914,0.016162333840299862,0.06095411154850719,0.0018965176434811231,0.0005264211895007642,0.00010461713486871237
1762019021.979767,82.0,0.42636088410086215,5.742187903763822,-1.5617728233337402,1.6109198041435072e-05,0.005069379335720623,-0.00966501235961914,0.016342082902613596,0.0036275272741441295,1.4153261854201122e-05,4.3245355972177865e-05,8.884523461853922e-05
1762019022.0003786,82.0,0.42636088410086215,5.742187903763822,-1.5617728233337402,1.6109198041435072e-05,0.005069379335720623,-0.00966501235961914,0.016342082902613596,0.0028942380255153016,8.538593126818038e-05,3.602858611691797e-05,8.906502306093604e-05
1762019022.0212042,82.0,0.42636088410086215,5.742187903763822,-1.5617009401321411,1.814884125820601e-05,0.005069379335720623,-0.009736895561218262,0.016342082902613596,0.0032607217794988746,9.677948498967347e-05,4.04676959639291e-05,8.913979269056946e-05
1762019022.042646,82.0,0.4265363470780613,5.740810357647569,-1.5617009401321411,1.814884125820601e-05,0.0020026653947659468,-0.009736895561218262,0.016518423429711486,0.0032607311305775846,9.679319546663801e-05,4.091866292194018e-05,8.915327136723519e-05
1762019022.0632477,82.0,0.4265363470780613,5.740810357647569,-1.5617009401321411,1.814884125820601e-05,0.0020026653947659468,-0.009736895561218262,0.016518423429711486,0.0032607322541148265,9.694882736541277e-05,4.350358944424616e-05,3.570695805035351e-05
1762019022.0825067,82.0,0.4265363470780613,5.740810357647569,-1.5615710020065308,1.95287214261921e-05,0.0020026653947659468,-0.009866833686828613,0.016518423429711486,0.003508631089444204,0.00010594985797387288,4.657517785469848e-05,3.576982467907562e-05
1762019022.1033413,82.0,0.42671351190887313,5.7393712947869915,-1.5615710020065308,1.95287214261921e-05,0.0020026653947659468,-0.009866833686828613,0.016696475078237127,0.003508639342582013,0.00010601756440588814,4.16338894416077e-05,3.562103797487257e-05
1762019022.1235259,82.0,0.42671351190887313,5.7393712947869915,-1.5615710020065308,1.95287214261921e-05,0.0012955564719986472,-0.009866833686828613,0.016696475078237127,0.0035086391136724695,0.00010609057782734864,4.218432128628605e-05,2.329676253116314e-05
1762019022.1443229,82.0,0.42671351190887313,5.7393712947869915,-1.5615732669830322,1.95287214261921e-05,0.0012955564719986472,-0.009864568710327148,0.016696475078237127,0.003508639204548901,0.00010606534550739106,4.0393322332530477e-05,2.3242458105052694e-05
1762019022.1652396,82.0,0.42689108824974176,5.737913826117088,-1.5615732669830322,1.95287214261921e-05,0.0012955564719986472,-0.009864568710327148,0.01687491798371607,0.003508649156077542,0.00010601779120514514,4.092792235717364e-05,2.3258327071435074e-05
1762019022.1856656,82.0,0.42689108824974176,5.737913826117088,-1.5615732669830322,1.95287214261921e-05,0.006507221260041745,-0.009864568710327148,0.01687491798371607,0.003508651012655442,0.00010547648493773918,4.1833056531714264e-05,0.00011424294536693867
1762019022.2063267,82.0,0.42689108824974176,5.737913826117088,-1.5615969896316528,2.042373857008208e-05,0.006507221260041745,-0.009840846061706543,0.01687491798371607,0.0036694449427449568,0.00011004828619707579,4.300047506616733e-05,0.0001142495225143526
1762019022.2271516,82.0,0.4269497273900966,5.737225285917813,-1.5615969896316528,2.042373857008208e-05,0.006507221260041745,-0.009840846061706543,0.016933955326102118,0.0036694479344809064,0.00011001978312144187,4.295237592226681e-05,0.0001142479044536585
1762019022.2474742,82.0,0.4269497273900966,5.737225285917813,-1.5615969896316528,2.042373857008208e-05,0.005107333907840735,-0.009840846061706543,0.016933955326102118,0.0036694474279388885,0.0001101718533026914,4.3619894381480515e-05,8.983623637192102e-05
1762019022.2682307,82.0,0.4269497273900966,5.737225285917813,-1.5615720748901367,2.042373857008208e-05,0.005107333907840735,-0.009865760803222656,0.016933955326102118,0.0036694463834958256,0.00011045973940846694,4.2434446797805074e-05,8.980237141251656e-05
