t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,ddelta_cmd,v_cmd,delta_cmd
1762022642.1258242,105.0,0.40433553226887164,5.517545615731952,-1.5843274593353271,9.317071015236137e-05,0.0,0.013588428497314453,-0.0056770649656774416,3.4999999999993916,-0.5614907309946071,0.1,0.0
1762022642.1335182,105.0,0.40433553226887164,5.517545615731952,-1.5843274593353271,9.317071015236137e-05,0.0,0.013588428497314453,-0.0056770649656774416,4.549999999763395,-0.37485639846859276,0.23435887962131013,-0.019300219765207658
1762022642.155223,105.0,0.40433553226887164,5.517545615731952,-1.5843638181686401,9.317071015236137e-05,0.0,0.013624787330627441,-0.0056770649656774416,3.3705394809926528,-0.18598885659654946,0.1,-0.0013110066760246718
1762022642.175435,105.0,0.40433165959169937,5.517541699123796,-1.5843638181686401,9.317071015236137e-05,0.0,0.013624787330627441,-0.005680937855237137,1.0750784802318605,-0.047340933352143705,0.1,-0.00038271817400562495
1762022642.1952357,105.0,0.40433165959169937,5.517541699123796,-1.5843638181686401,9.317071015236137e-05,0.0,0.013624787330627441,-0.005680937855237137,0.31079628446548513,-0.017764356627659163,0.1,-0.00013553975601156916
1762022642.2158086,105.0,0.40433165959169937,5.517541699123796,-1.584291934967041,9.317071015236137e-05,0.0,0.01355290412902832,-0.005680937855237137,0.1710213453888672,-0.00855556024036877,0.1,-5.7897811380059045e-05
1762022642.2367058,105.0,0.40432463219432957,5.517111495193227,-1.584291934967041,9.317071015236137e-05,-0.07511514944968854,0.01355290412902832,-0.005687988641636256,0.06138481331747918,-0.0029966175667226836,0.1,-1.980524911096561e-05
1762022642.256623,105.0,0.40432463219432957,5.517111495193227,-1.584291934967041,9.317071015236137e-05,-0.07511514944968854,0.01355290412902832,-0.005687988641636256,0.013808531310545026,-0.0005467750802288095,0.1,-0.0013147397032915156
1762022642.2769022,105.0,0.40432463219432957,5.517111495193227,-1.5843145847320557,9.317071015236137e-05,-0.07511514944968854,0.013575553894042969,-0.005687988641636256,0.01394013327032747,-0.0006526287166970756,0.1,-0.0013149781800846961
1762022642.2981648,105.0,0.4043097791849469,5.516102887941736,-1.5843145847320557,9.317071015236137e-05,-0.021928136113475757,0.013575553894042969,-0.005702896957045145,0.013940146728293919,-0.0006526122617258848,0.1,-0.0013147414201248148
1762022642.3183775,105.0,0.4043097791849469,5.516102887941736,-1.5843145847320557,9.317071015236137e-05,-0.021928136113475757,0.013575553894042969,-0.005702896957045145,0.013940048632083377,-0.0006789370207386592,0.1,-0.0003870171493294873
1762022642.3391705,105.0,0.4043097791849469,5.516102887941736,-1.5843331813812256,9.317071015236137e-05,-0.021928136113475757,0.01359415054321289,-0.005702896957045145,0.013940041799806202,-0.0006798795571919489,0.1,-0.0003867337761818897
1762022642.3599405,105.0,0.4042854745482007,5.514345169570916,-1.5843331813812256,9.317071015236137e-05,-0.021928136113475757,0.01359415054321289,-0.005727299572439378,0.013940040825044733,-0.0006798514584996117,0.1,-0.0003868287565927598
1762022642.3802629,105.0,0.4042854745482007,5.514345169570916,-1.5843331813812256,9.317071015236137e-05,-0.003317300235121893,0.01359415054321289,-0.005727299572439378,0.013940005266916817,-0.0006890624224928245,0.1,-6.213062171415207e-05
1762022642.4011781,105.0,0.4042854745482007,5.514345169570916,-1.5843379497528076,9.68170477573446e-05,-0.003317300235121893,0.013598918914794922,-0.005727299572439378,0.014485340719078496,-0.0007162656454967746,0.1,-6.200997796206227e-05
1762022642.4217353,105.0,0.4042513332422476,5.511854934627925,-1.5843379497528076,9.68170477573446e-05,-0.003317300235121893,0.013598918914794922,-0.005761583226749403,0.014485331438402006,-0.000716233814292377,0.1,-6.21778264484528e-05
1762022642.4421217,105.0,0.4042513332422476,5.511854934627925,-1.5843379497528076,9.68170477573446e-05,-0.001134757186263555,0.013598918914794922,-0.005761583226749403,0.014485327128217576,-0.0007173558962524076,0.1,-2.4021675700528644e-05
1762022642.4628093,105.0,0.4042513332422476,5.511854934627925,-1.5843513011932373,9.68170477573446e-05,-0.001134757186263555,0.01361227035522461,-0.005761583226749403,0.01448532352044986,-0.0007180592222749829,0.1,-2.3838175932467285e-05
1762022642.4838629,105.0,0.4042104718786722,5.50880632461963,-1.5843513011932373,9.68170477573446e-05,-0.001134757186263555,0.01361227035522461,-0.005802624650399904,0.014485322521124451,-0.0007180100870778066,0.1,-2.386837124440938e-05
1762022642.5040848,105.0,0.4042104718786722,5.50880632461963,-1.5843513011932373,9.68170477573446e-05,-0.07532913452418813,0.01361227035522461,-0.005802624650399904,0.014485472353638052,-0.0006798513986400012,0.1,-0.0013188270406125334
1762022642.5249267,105.0,0.4042104718786722,5.50880632461963,-1.5843721628189087,9.99742492929531e-05,-0.07532913452418813,0.013633131980895996,-0.005802624650399904,0.01495763653374181,-0.0007031147745947181,0.1,-0.0013186677817453739
1762022642.5467422,106.0,0.4041607367799996,5.505334564294549,-1.5843721628189087,9.99742492929531e-05,-0.022158213170379276,0.013640165328979492,-0.005852572813317081,0.014957619935916712,-0.0007034967629172729,0.1,-0.0013188034253119282
1762022642.566632,106.0,0.4041607367799996,5.505334564294549,-1.5843721628189087,9.99742492929531e-05,-0.022158213170379276,0.013640165328979492,-0.005852572813317081,0.01495751363090944,-0.0007319645580701845,0.1,-0.00039177845093129617
1762022642.5870116,106.0,0.4041607367799996,5.505334564294549,-1.5843970775604248,9.99742492929531e-05,-0.022158213170379276,0.013665080070495605,-0.005852572813317081,0.014957504092729597,-0.0007333194018380853,0.1,-0.0003912258624473167
