t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,delta_cmd,v_cmd
1763142951.272264,0.0,17.903497600652116,9.609960981866005,1.5621341466903687,0.0002567094412831751,0.0,0.01305842399597168,0.0010460815150836072,1.399999999998048,-0.019536939241946993,0.01
1763142951.3064163,0.0,17.903502951746326,9.609980824738782,1.5621341466903687,0.0002567094412831751,-1.1193841631670807,0.01305842399597168,0.001051519791446214,1.8199999993118738,-0.025402050075802343,0.02577912268541755
1763142951.3354616,0.0,17.903502951746326,9.609980824738782,1.5621341466903687,0.0002567094412831751,-1.1193841631670807,0.01305842399597168,0.001051519791446214,1.9081999530031928,-0.026633101578497853,0.0537406692293804
1763142951.3668125,0.0,17.903502951746326,9.609980824738782,1.5621204376220703,0.0002582506903596359,-1.1193841631670807,0.01307213306427002,0.001051519791446214,0.8283214571926855,-0.027548988440533762,0.023878710220124562
1763142951.380915,0.0,17.903507646708835,9.610059603786622,1.5621204376220703,0.0002582506903596359,-1.455430260323447,0.01307213306427002,0.001056561039396724,0.1765391560026634,-0.027830018532176554,0.01
1763142951.4073505,0.0,17.903507646708835,9.610059603786622,1.5621204376220703,0.0002582506903596359,-1.455430260323447,0.01307213306427002,0.001056561039396724,0.10548794552422694,-0.02791432567891641,0.01
1763142951.4332483,0.0,17.903507646708835,9.610059603786622,1.5621477365493774,0.00026029892226051157,-1.455430260323447,0.01304483413696289,0.001056561039396724,0.046211085564214806,-0.027901537573120024,0.01
1763142951.444457,0.0,17.903512222452385,9.610373747403704,1.5621477365493774,0.00026029892226051157,-1.455430260323447,0.01304483413696289,0.0010625177862048614,0.03193320311457644,-0.027906677244429304,0.01
1763142951.4748366,0.0,17.903512222452385,9.610373747403704,1.5621477365493774,0.00026029892226051157,-1.5259643157911378,0.01304483413696289,0.0010625177862048614,0.031037109876452723,-0.02790667708643841,0.01
1763142951.5025778,0.0,17.903512222452385,9.610373747403704,1.5621477365493774,0.000262053108784103,-1.5259643157911378,0.01304483413696289,0.0010625177862048614,0.031245977801033113,-0.027906677086276466,0.01
1763142951.5158179,0.0,17.903515685719558,9.610860502516989,1.5622179508209229,0.000262053108784103,-1.578440767497276,0.01297461986541748,0.0010681209071336376,0.031245978090150343,-0.027776747520959356,0.01
1763142951.5425572,0.0,17.903515685719558,9.610860502516989,1.5622179508209229,0.000262053108784103,-1.578440767497276,0.01297461986541748,0.0010681209071336376,0.03124597806065293,-0.027776747028310268,0.01
1763142951.5741131,0.0,17.903517891080433,9.611442432026507,1.5622490644454956,0.00026320776091614726,-1.578440767497276,0.012943506240844727,0.0010728845424004226,0.03138345973118633,-0.027723238215960906,0.01
1763142951.6062276,0.0,17.903517891080433,9.611442432026507,1.5622490644454956,0.00026320776091614726,-1.5993730493555667,0.012943506240844727,0.0010728845424004226,0.031383458528919814,-0.027723238040573656,0.01
1763142951.6325905,0.0,17.903517891080433,9.611442432026507,1.5622490644454956,0.0002656562317242341,-1.5993730493555667,0.012943506240844727,0.0010728845424004226,0.031674983474252884,-0.02772323804064343,0.01
1763142951.6469476,0.0,17.903519251951632,9.612145666332598,1.5622836351394653,0.0002656562317242341,-1.5993730493555667,0.012908935546875,0.0010773369798723583,0.03167498107170106,-0.02766228514411769,0.01
1763142951.6750295,0.0,17.903519251951632,9.612145666332598,1.5622836351394653,0.0002656562317242341,-1.598640344865467,0.012908935546875,0.0010773369798723583,0.031674981055019424,-0.027662284957437562,0.01
1763142951.7001173,0.0,17.903519251951632,9.612145666332598,1.5622836351394653,0.0002656562317242341,-1.598640344865467,0.012908935546875,0.0010773369798723583,0.031674981055019424,-0.02766228495743755,0.01
1763142951.7138188,0.0,17.903520796398432,9.612879988852143,1.562315821647644,0.0002672473654175272,-1.598640344865467,0.012876749038696289,0.0010821096620942485,0.0318644252775375,-0.02760665401019454,0.01
1763142951.7441082,0.0,17.903520796398432,9.612879988852143,1.562315821647644,0.0002672473654175272,-1.5989348172873616,0.012876749038696289,0.0010821096620942485,0.03186442315686742,-0.027606653828825663,0.01
1763142951.7783597,0.0,17.903520796398432,9.612879988852143,1.562315821647644,0.00027261152948561705,-1.5989348172873616,0.012876749038696289,0.0010821096620942485,0.032503074439522404,-0.027606653828982752,0.01
1763142951.8059924,0.0,17.903521211217658,9.613485946705106,1.5623468160629272,0.00027261152948561705,-1.598934817278083,0.012845754623413086,0.0010851884071139367,0.03250305565338589,-0.02755037815541813,0.01
1763142951.8190873,0.0,17.903521211217658,9.613485946705106,1.5623468160629272,0.00027261152948561705,-1.598934817278083,0.012845754623413086,0.0010851884071139367,0.03250305562327632,-0.027550378012545368,0.01
1763142951.8480763,0.0,17.903521211217658,9.613485946705106,1.5623468160629272,0.00027261152948561705,-1.598934817278083,0.012845754623413086,0.0010851884071139367,0.03250305562327632,-0.027550378012545305,0.01
1763142951.8778403,0.0,17.903521211217658,9.613485946705106,1.5623751878738403,0.0002781087840452284,-1.598934817278083,0.0128173828125,0.0010851884071139367,0.033157514278207234,-0.02749383928004142,0.01
1763142951.8917403,0.0,17.903521458673424,9.614021524855358,1.5623751878738403,0.0002781087840452284,-1.5884245442103537,0.0128173828125,0.0010877903849632626,0.03315749419682616,-0.02749847837550582,0.01
1763142951.9221892,0.0,17.903521458673424,9.614021524855358,1.5623751878738403,0.0002781087840452284,-1.5884245442103537,0.0128173828125,0.0010877903849632626,0.033157494195124815,-0.027498478311911677,0.01
1763142951.95359,0.0,17.903521458673424,9.614021524855358,1.5623751878738403,0.00028313072001205446,-1.5884245442103537,0.0128173828125,0.0010877903849632626,0.033755329474765165,-0.027498478312065772,0.01
1763142951.9827113,0.0,17.903522171996297,9.614588001365808,1.5624274015426636,0.00028313072001205446,-1.5884245341654024,0.012765169143676758,0.0010909940617039855,0.03375531314041137,-0.027400139771851743,0.01
1763142952.0049272,0.0,17.903522171996297,9.614588001365808,1.5624274015426636,0.00028313072001205446,-1.5884245341654024,0.012765169143676758,0.0010909940617039855,0.03375531307818354,-0.027400139488868935,0.01
1763142952.0150192,0.0,17.903522171996297,9.614588001365808,1.5624274015426636,0.00028313072001205446,-1.5884245341654024,0.012765169143676758,0.0010909940617039855,0.03375531307818353,-0.02740013948886884,0.01
1763142952.048763,0.0,17.903522171996297,9.614588001365808,1.5624490976333618,0.00029019700866291567,-1.5884245341654024,0.012743473052978516,0.0010909940617039855,0.03459647187774448,-0.027356903719935842,0.01
1763142952.0792677,0.0,17.903522833822755,9.615155813474493,1.5624490976333618,0.00029019700866291567,-1.581744750870385,0.012743473052978516,0.0010941521141240931,0.034596438632447685,-0.027362534320955763,0.01
1763142952.104086,0.0,17.903522833822755,9.615155813474493,1.5624490976333618,0.00029019700866291567,-1.581744750870385,0.012743473052978516,0.0010941521141240931,0.03459643862912491,-0.02736253424318996,0.01
1763142952.1165462,0.0,17.903522833822755,9.615155813474493,1.562483549118042,0.0013546299516168,-1.581744750870385,0.01270902156829834,0.0010941521141240931,0.16129494640439201,-0.027293879566938628,0.01
1763142952.149792,0.0,17.90352274176953,9.615718284952987,1.562483549118042,0.0013546299516168,-1.578520392294877,0.01270902156829834,0.0010965328155053099,0.16055561868049728,-0.027298124415749716,0.01
1763142952.1760967,0.0,17.90352274176953,9.615718284952987,1.562483549118042,0.0013546299516168,-1.578520392294877,0.01270902156829834,0.0010965328155053099,0.1605533881199499,-0.02729812424742047,0.01
1763142952.1865876,0.0,17.90352274176953,9.615718284952987,1.562483549118042,0.005952843006443771,-1.578520392294877,0.01270902156829834,0.0010965328155053099,0.7014872767858221,-0.02729812492930574,0.023777590449166705
1763142952.2154348,0.0,17.90352266545157,9.616288576451378,1.5625184774398804,0.005952843006443771,-1.578520392294877,0.012674093246459961,0.0010989636305970877,0.6871025643563168,-0.027232856760425576,0.012791917583953535
1763142952.2552,0.0,17.90352266545157,9.616288576451378,1.5625184774398804,0.005952843006443771,-1.5755467503045677,0.012674093246459961,0.0010989636305970877,0.6871021597349992,-0.027232856544183327,0.01356234923723926
1763142952.283197,0.0,17.90352266545157,9.616288576451378,1.5625184774398804,0.005952843006443771,-1.5755467503045677,0.012674093246459961,0.0010989636305970877,0.68710215955789,-0.027232856544180027,0.02701147287900599
1763142952.3096652,0.0,17.90352266545157,9.616288576451378,1.562576174736023,0.009547696222767075,-1.5755467503045677,0.012616395950317383,0.0010989636305970877,1.0878238575067174,-0.02711787929914028,0.0390713885911361
1763142952.3242822,0.0,17.903523087901462,9.616919329954966,1.562576174736023,0.009547696222767075,-1.5699123507819348,0.012616395950317383,0.0011021590135819083,1.0779627319344356,-0.027123579736345788,0.03755007931675558
1763142952.3524284,0.0,17.903523087901462,9.616919329954966,1.562576174736023,0.00961486721298547,-1.5699123507819348,0.012616395950317383,0.0011021590135819083,1.0851134858907623,-0.02712357965978643,0.024454283821130286
1763142952.384716,0.0,17.90352283276326,9.617664714457113,1.5626497268676758,0.00961486721298547,-1.5674351236980657,0.01254284381866455,0.0011051807591948095,1.0850857938498544,-0.026982393277775907,0.022592784132807672
1763142952.4148192,0.0,17.90352283276326,9.617664714457113,1.5626497268676758,0.00961486721298547,-1.5674351236980657,0.01254284381866455,0.0011051807591948095,1.085084313799295,-0.026982391252410105,0.022099158702351185
1763142952.4420881,0.0,17.90352283276326,9.617664714457113,1.5627580881118774,0.009627022254987162,-1.5674351236980657,0.01243448257446289,0.0011051807591948095,1.0863698690417858,-0.026766452131937596,0.0328791952623534
1763142952.4531603,0.0,17.903521398395604,9.618529877671165,1.5627580881118774,0.009627022254987162,-1.564067317645485,0.01243448257446289,0.0011075498614458454,1.0863726475556856,-0.026770669438247255,0.038539172347923534
1763142952.4858232,0.0,17.903521398395604,9.618529877671165,1.5627580881118774,0.009627022254987162,-1.564067317645485,0.01243448257446289,0.0011075498614458454,1.086372655996424,-0.02677066939479747,0.02089065209472136
1763142952.4984658,0.0,17.903521398395604,9.618529877671165,1.5628870725631714,0.009642786645588047,-1.564067317645485,0.012305498123168945,0.0011075498614458454,1.0880495383165916,-0.02651362379748691,0.033855452145717675
1763142952.5458214,0.0,17.90351957920874,9.61962983253591,1.5628870725631714,0.009642786645588047,-1.5640673080009295,0.012305498123168945,0.0011105663461919032,1.0880432513221248,-0.026519000903416846,0.02235049089223229
1763142952.561071,0.0,17.90351957920874,9.61962983253591,1.5628870725631714,0.009642786645588047,-1.5640673080009295,0.012305498123168945,0.0011105663461919032,1.0880432368207849,-0.026519000847267334,0.03995247803500029
1763142952.5905797,0.0,17.90351957920874,9.61962983253591,1.563104271888733,0.009661294793884589,-1.5640673080009295,0.012088298797607422,0.0011105663461919032,1.0900115676992324,-0.02608615260593638,0.025333298442190053
