s,x0,x1,x2,x3,x4,x5,u0,u1
2.099996680615234534e-01,-1.404694485824854473e-04,2.213722822930593582e-05,4.102326422997897293e-01,5.074180707043501215e+00,-1.570210020916477989e+00,6.000000238418579102e-01,7.400843239153870536e-18,-3.778235599683216076e-04
2.129996778968996085e-01,-1.447146574162828676e-04,2.170548620204610537e-05,4.102343948495816850e-01,5.071180707436198531e+00,-1.570214266125311786e+00,6.000000238418579102e-01,7.400843239153870536e-18,-3.778235599683216076e-04
2.159996228311118205e-01,-1.489598662500802879e-04,2.126100863369456416e-05,4.102361346637488082e-01,5.068180707821483111e+00,-1.570218511334145584e+00,6.000000238418579102e-01,-1.368215998390000582e-17,-4.758522748747518361e-04
2.189996326363648493e-01,-2.033208856687480286e-04,2.065510008697112870e-05,4.102377130470455380e-01,5.065180708117493324e+00,-1.570272872353564164e+00,6.000000238418579102e-01,-1.368215998390000582e-17,-4.758522748747518361e-04
2.219996457733566797e-01,-2.086675409072952995e-04,2.003995107290257115e-05,4.102392753903780775e-01,5.062180708405105811e+00,-1.570278219008802711e+00,6.000000238418579102e-01,-1.368215998390000582e-17,-4.758522748747518361e-04
2.249995653849510835e-01,-2.140141961458425705e-04,1.941091452238647138e-05,4.102408216937464269e-01,5.059180708684410277e+00,-1.570283565664041259e+00,6.000000238418579102e-01,-1.368215998390000582e-17,-4.758522748747518361e-04
2.279995796515761342e-01,-2.193608513843898415e-04,1.876583816332489941e-05,4.102423519571505861e-01,5.056180708955489322e+00,-1.570288912319279806e+00,6.000000238418579102e-01,5.238846226639452342e-18,-4.971009992677021070e-04
2.309995303873174644e-01,-2.355706204627771271e-04,1.806859270010251247e-05,4.102438339493763575e-01,5.053180709202334420e+00,-1.570305122088358374e+00,6.000000238418579102e-01,5.238846226639452342e-18,-4.971009992677021070e-04
2.339993969348930225e-01,-2.411560254586219386e-04,1.734943295285201897e-05,4.102452991853884345e-01,5.050180709440948768e+00,-1.570310707493354219e+00,6.000000238418579102e-01,5.238846226639452342e-18,-4.971009992677021070e-04
2.370001522334975186e-01,-2.467414304544667501e-04,1.661351578484420208e-05,4.102467476651868727e-01,5.047180709671425625e+00,-1.570316292898350063e+00,6.000000238418579102e-01,5.238846226639452342e-18,-4.971009992677021070e-04
2.400000337595120659e-01,-2.523268354503115617e-04,1.586085414870164160e-05,4.102481793887715611e-01,5.044180709893858250e+00,-1.570321878303345908e+00,6.000000238418579102e-01,1.240443460512423068e-17,-5.151617601740765551e-04
2.430000479962024784e-01,-2.671455525726920211e-04,1.506413410658567602e-05,4.102495669606028295e-01,5.041180710095544804e+00,-1.570336697020468186e+00,6.000000238418579102e-01,1.240443460512423068e-17,-5.151617601740765551e-04
2.459999675264843977e-01,-2.729338875067235460e-04,1.425004918478351527e-05,4.102509371674304961e-01,5.038180710289251074e+00,-1.570342485355402218e+00,6.000000238418579102e-01,1.240443460512423068e-17,-5.151617601740765551e-04
2.489999817537489890e-01,-2.787222224407550708e-04,1.341859913314216419e-05,4.102522900092545610e-01,5.035180710475076538e+00,-1.570348273690336249e+00,6.000000238418579102e-01,1.240443460512423068e-17,-5.151617601740765551e-04
2.519999959336080009e-01,-2.845105573747865957e-04,1.257669819008199174e-05,4.102536254860748577e-01,5.032180710653121558e+00,-1.570354062025270281e+00,6.000000238418579102e-01,4.811912611032633718e-18,-5.301596554691527952e-04
2.549999154820893343e-01,-2.979663572057905945e-04,1.169672044754949772e-05,4.102549208482713650e-01,5.029180710813577981e+00,-1.570367517825101311e+00,6.000000238418579102e-01,4.811912611032633718e-18,-5.301596554691527952e-04
